No,Ulasan,Ulasan_Preprocessed,Sentiment_Asli,Sentiment(Linear),Sentiment(RBF)
185,"aplikasi bodoh. registrasi sulit, menu masih banyak yg stuck di klik ga respon apa apa, saat verifikasi foto KTP dibilang tidak sesuai, saya harus rubah wajah saya? tolong IT aplikasi ini sedikit lebih niat kalau mau buat aplikasi, belum pernah pakai aplikasi se menyebalkan ini",aplikasi bodoh registrasi sulit menu stuck klik respon verifikasi foto ktp bilang sesuai rubah wajah tolong aplikasi niat aplikasi pakai aplikasi sebal,negatif,negatif,negatif
186,top dicera digital semua lebih mudah mohon di tingkat kan lagi untuk pembuatan lain. nya pengiriman cepat update mantap STNK dah sampai tks,top dicera digital mudah mohon tingkat buat ya kirim cepat update mantap stnk tks,positif,positif,positif
187,"tolong, saya sudah bayar pajak stnk motor ni. terus sampai sekarang kenapa belum sampai juga STNK saya. padahal udah satu Minggu Lo. pengiriman nya lewat pos reguler. tolong dong bantu saya, saya udah rugi banget.",tolong bayar pajak stnk motor nih stnk minggu lo kirim ya pos reguler tolong bantu rugi banget,negatif,negatif,negatif
188,"aplikasi mantap,,mudah digunakan",aplikasi mantapmudah,positif,negatif,negatif
189,pendaftaran susah foto ktp sama sekarang tidak sesuai dikira orang gabole dewasa kali ya foto nya harus tetep aja seperti bocil pelayanan samsat aneh,daftar susah foto ktp sesuai orang gabole dewasa kali ya foto ya bocil layan samsat aneh,negatif,negatif,negatif
190,mantap cepat👍,mantap cepat,positif,positif,positif
191,"aplikasinya sangat menguntungkan bagi masyarakat khususnya bagi pemilik kendaran tidak perlu susah pergi ke kantor pajak untuk membayar pajak, karena cukup menggunakan aplikasi signal samsat semua urusan cepat selesai dan pengiriman STNK pun bisa di kirim ke alamat",aplikasi untung masyarakat milik kendaran susah pergi kantor pajak bayar pajak aplikasi signal samsat urus cepat selesai kirim stnk kirim alamat,positif,positif,positif
192,puas sekali,puas,positif,positif,positif
193,Top,top,positif,positif,positif
194,"lebih simple, tapi ongkirnya lumayan mahal padahal deket",simple ongkirnya lumayan mahal,positif,positif,positif
195,cukup membantu mempermudah pembayaran pajak kendaraan,bantu mudah bayar pajak kendara,positif,positif,positif
196,"proses cepat, sangat membantu, yg perlu ditingkatkan komunikasi antar samsat dlm penanganan aplikasi ini. semoga kedepannya lebih baik lagi",proses cepat bantu tingkat komunikasi samsat tangan aplikasi moga depan,positif,positif,positif
197,sudah 4 kali perpanjangan stnk tahunan selalu mudah dan cepat proses nya sangat membantu sekali dengan adanya aplikasi signal,kali panjang stnk tahun mudah cepat proses ya bantu aplikasi signal,positif,positif,positif
198,sangat membantu banget buat sya,bantu banget,positif,positif,positif
199,mantap memudahkan saya.. Terima kasih signal semoga untuk pergantian kaleng 5 tahunan semua bisa lewat online,mantap mudah terima kasih signal moga ganti kaleng tahun online,positif,positif,positif
200,verif foto ktp dan selfie tidak sesuai terus. foto ktp sudah dari 2007 disamakan dengan wajah sekarang jelas gak mirip. tolong perbaiki,verif foto ktp selfie sesuai foto ktp sama wajah tolong baik,negatif,negatif,negatif
201,"katanya wajib pajak tapi pada saat cek pajak kendaraan melalui aplikasi gagal dan muncul keterangan ""Layanan tidak tersedia, silahkan coba beberapa saat lagi atau hubungi customer service pada live chat aplikasi"". Setelah saya menghubungi CS malah disuruh melakukan pembayaran pajak ke Samsat kendaraan terdaftar hadeuh. orang saya download apk tujuannya buat bayar pajak karena tidak ada waktu ke Samsat tolong bantuannya dong admin",wajib pajak cek pajak kendara aplikasi gagal muncul terang layan sedia sila coba hubung customer service live chat aplikasi hubung cs suruh bayar pajak samsat kendara daftar aduh orang download apk tuju bayar pajak samsat tolong bantu admin,negatif,negatif,negatif
202,mantap beneran dikirim,mantap benar kirim,positif,positif,positif
203,lemooottttt,lemooottttt,negatif,positif,positif
204,kembangkan lagi aplikasinya,kembang aplikasi,negatif,positif,positif
205,Berfungsi dan praktis,fungsi praktis,positif,positif,positif
206,SAmpah negara. Apk tak ada guna!!!!!,sampah negara apk,negatif,negatif,negatif
207,keren,keren,positif,positif,positif
208,"apk apa ini... udh lemot ribet, mau bayar pajak g bisa, pdhl udh daftar akun, mau chat CS aja hrus masuk NIK udh tau itu rahasia, mau taat pajak ribet, nnti giliran g bayar pajak didenda... heehhhh....",apk lot ribet bayar pajak daftar akun chat cs masuk nik tau rahasia taat pajak ribet gilir bayar pajak denda heehhhh,negatif,negatif,negatif
209,memudahkan dalam membayar pajak kendaraan,mudah bayar pajak kendara,positif,positif,positif
210,aplikasi sangat buruk layanan tidak tersedia layanan gagal begitu terus. gak berguna sekali aplikasi ini,aplikasi buruk layan sedia layan gagal guna aplikasi,negatif,negatif,negatif
211,Alhamdulillah sampai juga walaupun lama terimakasih sudah amanah,alhamdulillah terimakasih amanah,positif,positif,positif
212,"Aplikasi yg sangat bermanfaat dan membantu warga masyarakat, layak diapresiasi.",aplikasi manfaat bantu warga masyarakat layak apresiasi,positif,positif,positif
213,"kenapa susah sekali jika menyimpan foto untuk verifikasi. sebenarnya ini masih berlaku gk sih, bolak balik verifikasi gk lolos, malah koneksinya yg disalahkan. yg foto gak samalah. ya kaj foto dulu kurus dan skrag gemuk kokalaj di permasalahkan, yg katanya beda fotonya",susah simpan foto verifikasi laku sih bolak verifikasi lolos koneksi salah foto sama ya kak foto kurus skrag gemuk kokalaj masalah beda foto,negatif,negatif,negatif
214,"baguss, cepet sampe nya",bagus cepat ya,positif,positif,positif
215,"pengiriman nya aga lambat aja, tapi alhamdulillah sampe sih, jos juga",kirim ya aga lambat alhamdulillah sih jos,positif,positif,positif
216,"nih aplikasi bagus bayar pajak online ga ribet .. cuma minus nya .. nih aplikasi susah bngt daftarin akunnya .. mesti di jam"" tertentu Bru bisa daftar, pdhl foto KTP dan foto wajah dah benr tapi malah error .. perbaiki lagi dah .. kasihan yg mau daftar akun kdang"" ga bisa..",nih aplikasi bagus bayar pajak online ribet minus ya nih aplikasi susah banget daftarin akun mesti jam daftar foto ktp foto wajah benr error baik kasihan daftar akun kadang,positif,negatif,negatif
217,"memudahkan, taat bayar pajak. tidak ada alasan lagi telat bayar pajak,",mudah taat bayar pajak alas telat bayar pajak,positif,positif,positif
218,terimakasih mempermudah proses keperluan perpanjang an dokumen kendaraan Mudah dan Cepat sampai di Rumah,terimakasih mudah proses perlu panjang an dokumen kendara mudah cepat rumah,positif,positif,positif
219,sebenernya gak ribet tapi waktu pengiriman yg lama,ribet kirim,positif,positif,positif
220,niat mau bayar pajak lewat apk ini ternyata tidak bisa,niat bayar pajak apk,negatif,negatif,negatif
221,perpanjangan stnk tahunan jadi lebih efisien baik secara waktu dan tenaga,panjang stnk tahun efisien tenaga,positif,positif,positif
222,"sekarang mau perpanjang stnk semakin mudah,tinggal klik,bayar,dokumen jadi tinggal tunggu 1 atau 2 hari sudah di terima mantap",panjang stnk mudahtinggal klikbayardokumen tinggal tunggu terima mantap,positif,positif,positif
223,Sangat memudahkan...,mudah,positif,positif,positif
224,cepet banget..1 hari sudah di terima stnk ny 👍,cepat banget terima stnk nya,positif,positif,positif
225,buat cek estimasi pembayaran pajak ga bisa. aplikasi ga guna bos. rugi instal aplikasi ini.,cek estimasi bayar pajak aplikasi bos rugi instal aplikasi,negatif,negatif,negatif
226,mantull,mantull,positif,positif,positif
227,mohon bantuannya kenapa pengiriman lewat pos Indonesia belum kunjung sampai berapa lama ya dah mau 3 minggu,mohon bantu kirim pos indonesia kunjung ya minggu,negatif,negatif,negatif
228,"terima kasih, sangat membantu sekali.",terima kasih bantu,positif,positif,positif
229,"verifikasi wajah gagal Mulu, merasa paling tau wajah orang, pake ai kok yg tolol sih",verifikasi wajah gagal mulu tau wajah orang pakai ai tolol sih,negatif,negatif,negatif
230,Aplikasi ini sangat sangat membantu utk bayar pajak kendaraan bermotor... Terima kasih🙏🙏,aplikasi bantu bayar pajak kendara motor terima kasih,positif,positif,positif
231,pelayanannya lelet . udah 1 bulan lebih belum di kirim ..,layan lelet kirim,negatif,positif,positif
232,solusi bayar pajak praktis dan cepat👍👍👍👍👍,solusi bayar pajak praktis cepat,positif,positif,positif
233,"kalo bisa kedepan nya utk perpanjang plat pergantian plat juga online aja pak, mempermudah kami utk urus2 dokumen kendaraan dan menghindari praktik pungli dan calo liar...semoga bisa ya pak",depan ya panjang plat ganti plat online mudah urus dokumen kendara hindar praktik pungli calo liarsemoga ya,positif,positif,positif
234,Alhamdulillah udah 2 tahun pakai apk ini buat bayar pajak motor. sangat membantu ga perlu capek capek ke kantor Samsat.,alhamdulillah pakai apk bayar pajak motor bantu capek capek kantor samsat,positif,positif,positif
235,bayar pajak lewat aplikasi ini..mantap...dari luar kota cepat satset...,bayar pajak aplikasi inimantapdari kota cepat satset,positif,positif,positif
236,"sangat mudah, aman, cepat, sangat membantu",mudah aman cepat bantu,positif,positif,positif
237,"tidak bisa memverifikasi email, katanya kode Verifikasi telah terikirim tapi di cek email masih kosong",verifikasi email kode verifikasi terikirim cek email kosong,negatif,negatif,negatif
238,aplikasinya sangat membantu dan mudah dalam penggunaan. ini namanya era digital . mantap,aplikasi bantu mudah guna nama era digital mantap,positif,positif,positif
239,"aplikasi ga jelas mau verifikasi wajah malah gagal terus, selalu tertulis foto profil dan ktp tidak sama, sistem negara kalah sama ekomers pantas saja sering dibobol orang ga jelas gini",aplikasi verifikasi wajah gagal tulis foto profil ktp sistem negara kalah ekomers bobol orang,negatif,negatif,negatif
240,"Kacau nih aplikasi, bukannya membantu malah bikin emosi",kacau nih aplikasi bantu bikin emosi,negatif,positif,positif
241,"joss tepat sasaran, urusan mudah",joss sasar urus mudah,positif,positif,positif
242,tidak bisa pilih pengiriman atau pilih Samsat. mohon diperbaiki.,pilih kirim pilih samsat mohon baik,negatif,negatif,negatif
243,lumayan memudahkan tapi kenapa ongkir nya naik 2x lipat yak hmm padahal gak jauh jauh banget,lumayan mudah ongkir ya kali lipat ya hmm banget,positif,positif,positif
244,mudah dan Praktis kemajuan teknologi,mudah praktis maju teknologi,positif,positif,positif
245,"jangankan bayar, cek data kendaraan aja tidak bisa",bayar cek data kendara,negatif,negatif,negatif
246,pelayanan cepet STNK-nya sampe tepat waktu gak perlu antri,layan cepat stnknya antri,positif,positif,positif
247,ap jelek,jelek,negatif,negatif,negatif
248,pertama dan kedua perpanjang masih aman lancar. eh sekarang mau perpanjang tahunan dibuat susah.. rakyat mau ta'at bayar pajak saja dibuat susah. rakyat mau bayar loh... mau bayar. mau bayar...,panjang aman lancar eh panjang tahun susah rakyat taat bayar pajak susah rakyat bayar loh bayar bayar,negatif,negatif,negatif
249,"hanya karena foto ktp dan foto diri saya yang sekarang berbeda, setiap kali mau verifikasi gagal terus dan gaada solusi lain!",foto ktp foto beda kali verifikasi gagal solusi,negatif,negatif,negatif
250,sangat memuaskan.... semenjak ada aplikasi signal... saya bayar STNK jd mudah... Terima kasih😘💕,muas semenjak aplikasi signal bayar stnk mudah terima kasih,positif,positif,positif
251,Sangat Membantu 👍,bantu,positif,positif,positif
252,proses mudah dan cepat serta aman model layanan kekinian keren,proses mudah cepat aman model layan kini keren,positif,positif,positif
253,cepat dan ga ribet. kereeennn,cepat ribet kereeennn,positif,positif,positif
254,mantul.. prosesnya cepet dan mudah sat set langsung jadi ga repot repot lagi..,mantul proses cepat mudah sat set langsung repot repot,positif,positif,positif
255,"puas sekali, tingkatkan terus pelayanan melalui channel digital. sangat dimudahkan",puas tingkat layan channel digital mudah,positif,positif,positif
256,sangat membatu untuk taat bayar pajak. pengiriman 1 Minggu standar lah .,batu taat bayar pajak kirim minggu standar,positif,positif,positif
257,"Baru pertama kali coba aplikasi ini, sebenarnya sangat membantu dlm pembayaran wajib pajak pemilik kendaraan, hanya saja proses di samsat daerahnya yg lama sekali namanya online begitu sdh muncul pembayaran lunas hrsnya kan di proses hari itu juga kecuali tgl libur. bikin aplikasi yg cepat dan akurat sprti shopee dan tiktok belanja online cepat, mudah dilacak sampai dmn prosesnya itu saja sih terimakasih pak.",kali coba aplikasi bantu bayar wajib pajak milik kendara proses samsat daerah nama online muncul bayar lunas proses kecuali tanggal libur bikin aplikasi cepat akurat shopee tiktok belanja online cepat mudah lacak mana proses sih terimakasih,positif,positif,positif
258,"foto KTP sama asli jelas beda tetap gak bisa daftar akun ini gimana, cuma bedanya KTP muda asli sudah tua",foto ktp asli beda daftar akun beda ktp muda asli tua,negatif,negatif,negatif
259,simple waktu gk perlu ke samsat,simple samsat,positif,positif,positif
260,bayar pajak jadi lebih mudah,bayar pajak mudah,positif,positif,positif
261,tidak bisa bayar pajak & tidak bisa hapus akun permanen,bayar pajak hapus akun permanen,negatif,negatif,negatif
262,"gagal mulu verifikasi nya, padahal wajah sama dengan ktp",gagal mulu verifikasi ya wajah ktp,negatif,negatif,negatif
263,"aplikasi ga jelas ga berguna,sampah",aplikasi bergunasampah,negatif,negatif,negatif
264,proses simpel dan pengiriman cepat,proses simpel kirim cepat,positif,positif,positif
265,Sekarang proses lebih cepat dan pengiriman juga lebih cepat.. terima kasih Signal-Samsat,proses cepat kirim cepat terima kasih signalsamsat,positif,positif,positif
266,"ini gimana masa mau daftar katanya foto KTP dan profil tidak sesuai, padahal pake foto saya sendiri",daftar foto ktp profil sesuai pakai foto,positif,negatif,negatif
267,"overall bagus cm utk Tangsel pengirimannya lamaaa, 7 hari kerja, ga kaya DKI hari ini bayar besok sampe kalo yg express, yg reg cm 3 hari juga",overall bagus tangsel kirim lamaaa kerja kayak dki bayar besok express reg,positif,positif,positif
268,memudahkan transaksi pembayaran semoga kedepannya semakin memberikan kepuasaan terhadap pemilik kendaraan,mudah transaksi bayar moga depan puasa milik kendara,positif,positif,positif
269,dari segi perubahan data kurang bagus. kendaraan sudah dibalik nama tapi diakun masih nama pemilik pertama. bayar pajak jadi tetep harus kesamsat.,segi ubah data bagus kendara balik nama akun nama milik bayar pajak kesamsat,negatif,positif,negatif
270,proses sangat cepat kalau tak ada calo,proses cepat calo,positif,positif,positif
271,"susah amat registrasi, foto ktp belum update beda sama muka sekarang gabisa daftar, kurang canggih dan susah",susah registrasi foto ktp update beda muka daftar canggih susah,negatif,negatif,negatif
272,fungsi dan tujuan bintang 5 tapi kenapa sering error,fungsi tuju bintang error,negatif,positif,negatif
273,sangat memuaskan 👍👍,muas,positif,positif,positif
274,"ribet banget cek melalui signal....hrs diulang2 terus, ngga jelas",ribet banget cek signalhrs ulang,negatif,negatif,negatif
275,Mantap.,mantap,positif,positif,positif
276,"Alhamdulillah 3x memperpanjang STNK , berjalan baik & lancar,, pertahankan & tingkatkan.. terimakasih 🙏🏻",alhamdulillah kali panjang stnk jalan lancar tahan tingkat terimakasih,positif,positif,positif
277,sangat membantu di saat tidak mengurus STNK.,bantu urus stnk,positif,positif,positif
278,pelayanan yg sangat baik dan memudahkan,layan mudah,positif,positif,positif
279,baru pertama kali stnk kirim ke rumah,kali stnk kirim rumah,positif,positif,positif
